Index,Target,Type,Alcohol,Density,Nitrogen,pH,Sugar,A,B,C,D,Di,E,H,S,U,V,Cost
931,4,white_wine,7.90,1.02,1.08,3.39,7.05,22.50,3.17,2.40,31.90,38.90,1.07,2.23,3.65,6.50,0.07,6.1955
932,4,white_wine,7.70,1.02,4.34,3.31,14.17,24.90,1.45,4.65,41.80,57.02,1.29,2.23,4.09,9.35,0.23,8.961500000000001
933,5,white_wine,8.55,1.02,4.44,3.32,10.09,23.50,1.32,4.20,30.80,49.97,1.87,1.86,3.36,5.45,0.01,7.628500000000001
934,2,white_wine,7.80,1.02,0.78,3.69,8.76,22.70,3.96,2.55,53.90,64.55,1.57,4.40,6.42,10.30,0.01,6.8895
935,4,white_wine,7.70,1.02,0.70,3.32,16.83,23.10,2.11,5.85,23.10,32.93,1.15,2.67,3.65,6.00,0.18,10.027
936,6,white_wine,7.90,1.02,2.77,3.53,1.44,23.50,2.38,5.85,48.40,63.34,1.82,1.92,5.26,7.05,0.13,3.9725
937,3,white_wine,7.45,1.02,6.94,3.51,17.64,23.70,1.72,4.05,44.00,53.13,1.51,2.05,2.04,7.00,0.05,10.292000000000002
938,4,red_wine,8.05,1.02,10.31,3.49,2.96,31.50,7.79,3.30,17.60,29.54,1.25,6.08,11.10,1.40,0.04,4.627
939,4,white_wine,8.75,1.01,9.44,3.39,1.82,23.70,1.98,7.20,37.40,48.13,1.80,1.67,3.36,7.95,0.04,4.3999999999999995
940,4,red_wine,8.90,1.02,7.18,3.78,4.58,22.50,5.81,1.20,11.00,28.49,1.53,3.84,5.99,1.30,0.22,5.616
941,4,white_wine,7.70,1.02,5.04,3.43,1.92,22.50,1.58,7.35,17.60,32.52,1.52,3.47,4.38,6.85,0.15,4.0794999999999995
942,3,white_wine,8.25,1.02,4.12,3.39,2.77,24.70,2.90,3.75,34.10,41.36,0.90,2.23,4.67,5.80,0.15,4.606
943,4,white_wine,7.55,1.02,3.51,3.43,15.60,21.50,1.85,3.00,44.00,41.07,0.82,2.17,3.50,5.35,0.06,9.498999999999999
944,4,white_wine,8.85,1.01,0.07,3.19,4.77,25.90,1.85,3.60,41.80,40.18,1.75,2.17,0.88,7.65,0.06,5.584999999999999
945,4,white_wine,9.35,1.01,4.95,3.50,2.30,23.50,3.04,4.95,12.10,22.79,1.24,1.49,6.28,3.40,0.09,4.818499999999999
946,3,red_wine,7.85,1.02,16.48,3.52,2.21,25.50,8.05,3.30,18.70,28.14,1.11,4.65,3.80,4.40,0.25,4.2615
947,3,red_wine,7.80,1.02,7.13,3.67,2.30,24.30,3.43,4.20,33.00,39.03,0.97,4.53,3.80,3.10,0.12,4.3025
948,3,white_wine,7.55,1.02,1.11,3.34,11.42,24.10,3.70,2.10,37.40,54.46,1.17,2.11,4.23,11.10,0.16,7.8134999999999994
949,4,white_wine,8.80,1.01,3.91,3.46,1.25,23.70,1.85,7.35,27.50,41.13,1.63,2.67,1.90,6.10,0.06,4.2
950,4,white_wine,7.45,1.02,6.84,3.49,17.64,23.30,1.72,7.35,44.00,53.85,1.05,2.05,2.48,7.60,0.23,10.289000000000001
951,5,white_wine,8.50,1.01,0.06,3.52,1.25,22.90,2.24,4.80,42.90,47.77,1.08,1.55,5.26,5.40,0.12,4.103999999999999
952,2,white_wine,8.35,1.01,5.63,3.16,1.35,27.70,3.56,7.35,14.30,19.56,1.65,1.67,1.61,2.50,0.05,4.0375
953,4,white_wine,9.15,1.01,2.81,3.28,9.14,23.30,4.09,4.20,9.90,24.82,1.58,1.67,1.90,4.30,0.12,7.451500000000001
954,5,white_wine,8.80,1.01,4.34,3.48,2.02,23.10,2.77,4.65,25.30,38.11,1.51,1.61,6.86,3.65,0.05,4.511
955,3,white_wine,8.30,1.01,8.31,3.17,1.44,27.70,1.58,4.20,18.70,25.81,0.89,0.56,1.90,3.30,0.07,4.0575
956,3,white_wine,7.65,1.02,7.69,3.47,8.57,24.90,3.04,3.90,50.60,65.75,0.65,2.42,2.04,10.00,0.04,6.728
957,4,white_wine,8.20,1.02,10.38,3.46,8.95,25.70,1.85,3.90,40.70,52.26,1.36,2.36,4.53,6.30,0.24,7.071
958,4,white_wine,8.60,1.01,2.21,3.36,6.86,22.10,1.58,3.90,23.10,36.78,1.66,2.48,2.92,4.35,0.02,6.359
959,5,white_wine,9.55,1.01,1.08,3.36,6.81,23.30,2.77,5.85,23.10,25.43,1.92,1.36,8.47,4.60,0.22,6.6715
960,3,white_wine,7.60,1.02,9.66,3.44,9.61,23.50,4.49,6.90,72.60,90.44,1.03,2.79,4.09,11.40,0.01,7.122
961,5,white_wine,8.75,1.02,1.97,3.38,11.99,22.10,1.85,4.95,26.40,30.92,1.30,1.49,2.92,4.55,0.04,8.467500000000001
962,4,white_wine,7.60,1.02,3.15,3.45,16.22,21.50,1.85,3.30,41.80,52.88,1.51,2.17,3.80,5.20,0.04,9.767499999999998
963,4,white_wine,9.60,1.02,3.54,3.19,12.65,25.90,3.56,4.20,13.20,26.88,1.14,1.43,3.07,2.85,0.01,9.0005
964,3,white_wine,7.90,1.02,7.13,3.45,1.82,22.10,3.17,6.90,60.50,70.71,1.26,2.54,3.94,9.15,0.02,4.1125
965,6,white_wine,9.25,1.01,1.95,3.19,8.29,23.90,2.64,4.50,39.60,50.63,1.96,1.05,2.34,5.35,0.18,7.132999999999999
966,4,white_wine,8.80,1.01,3.69,3.41,2.11,22.70,1.45,4.20,29.70,47.14,1.60,0.81,6.13,7.60,0.14,4.5365
967,4,white_wine,9.00,1.01,2.13,3.35,1.54,24.90,1.58,5.55,29.70,35.77,1.00,1.18,5.69,4.15,0.19,4.3695
968,4,red_wine,7.70,1.02,9.45,3.37,10.85,30.10,5.41,3.00,13.20,31.73,1.36,3.84,6.86,2.20,0.14,7.6425
969,5,white_wine,9.85,1.01,9.01,3.43,2.49,23.10,3.83,4.50,41.80,57.90,1.88,1.49,4.53,5.05,0.10,5.059
970,3,white_wine,7.90,1.02,2.79,3.29,9.90,23.90,2.64,3.30,38.50,48.63,0.90,2.67,3.50,6.25,0.06,7.320500000000001
971,3,white_wine,7.85,1.02,2.99,3.15,8.57,24.30,1.72,4.05,27.50,44.37,2.26,2.91,4.38,5.25,0.07,6.75
972,4,white_wine,8.30,1.02,0.30,3.46,8.57,24.10,1.72,4.20,39.60,51.99,1.54,2.23,4.67,10.75,0.19,6.954000000000001
973,3,white_wine,8.45,1.01,11.72,3.21,1.35,25.50,2.57,4.50,19.80,33.94,1.16,1.86,4.96,3.45,0.21,4.08
974,4,white_wine,7.95,1.02,2.14,3.43,13.04,23.70,2.24,4.65,74.80,91.42,1.04,2.54,3.80,9.80,0.10,8.615
975,4,white_wine,8.15,1.02,3.20,3.55,13.04,23.90,0.66,4.20,50.60,53.47,1.66,2.54,2.92,6.30,0.19,8.703
976,4,white_wine,7.95,1.02,2.48,3.06,10.56,24.90,2.11,3.30,27.50,41.41,1.42,2.05,2.04,3.75,0.11,7.5675
977,3,white_wine,7.70,1.02,1.73,3.31,11.71,24.90,2.64,3.75,26.40,30.85,0.59,2.73,5.84,7.10,0.01,7.9775
978,5,white_wine,8.35,1.02,0.79,3.74,1.73,24.90,1.32,3.60,22.00,21.82,0.64,2.36,6.13,5.00,0.13,4.2775
979,4,white_wine,9.60,1.02,4.76,3.15,10.95,26.90,3.70,5.40,22.00,15.19,1.33,1.43,2.48,6.30,0.03,8.314499999999999
980,3,white_wine,7.75,1.01,4.39,3.12,1.73,24.30,3.43,12.90,38.50,49.65,1.59,10.23,4.09,4.65,0.15,3.9735
981,5,white_wine,9.50,1.01,6.51,3.41,2.58,25.50,3.17,7.20,29.70,40.56,1.28,1.92,4.38,5.40,0.17,4.9695
982,3,red_wine,7.85,1.02,8.04,3.41,2.30,25.90,5.54,4.95,15.40,32.07,1.94,4.65,4.82,6.85,0.18,4.280999999999999
983,4,white_wine,7.80,1.02,2.11,3.37,14.27,24.70,1.98,6.15,79.20,94.03,1.46,2.42,7.15,10.85,0.01,9.0455
984,4,white_wine,8.10,1.02,1.15,3.43,7.53,25.70,2.38,11.10,63.80,79.51,1.57,2.17,6.13,7.70,0.08,6.4635
985,3,white_wine,8.45,1.01,6.42,3.50,1.73,23.30,2.51,4.95,25.30,38.79,1.17,2.05,3.50,8.85,0.08,4.275499999999999
986,3,white_wine,7.75,1.02,3.29,3.57,1.92,22.90,3.30,3.60,26.40,36.44,1.41,2.79,4.09,5.55,0.05,4.117999999999999
987,4,white_wine,7.80,1.02,3.32,3.35,11.42,22.50,1.72,2.70,66.00,76.63,0.92,2.17,4.38,7.45,0.00,7.9025
988,5,red_wine,8.05,1.02,6.05,3.22,1.82,33.30,4.36,8.10,23.10,33.11,1.36,5.33,7.88,1.75,0.09,4.1305
989,5,red_wine,8.60,1.02,7.30,3.62,2.58,25.10,2.51,5.10,3.30,10.97,1.51,2.54,6.13,0.10,0.39,4.686999999999999
990,3,white_wine,8.60,1.01,3.64,3.46,1.73,,1.72,7.35,15.40,29.51,1.46,1.98,5.99,7.90,0.07,4.322
991,4,white_wine,7.70,1.02,5.32,3.27,15.79,24.50,1.58,9.15,14.30,18.71,1.64,2.11,2.04,4.85,0.07,9.6035
992,4,red_wine,7.70,1.02,9.45,3.14,2.30,32.70,3.43,6.75,5.50,22.89,1.35,4.53,6.42,0.45,0.06,4.188
993,3,white_wine,7.65,1.02,3.00,3.06,9.99,22.70,1.45,4.95,68.20,82.42,1.03,3.35,2.77,6.35,0.08,7.234500000000001
994,4,white_wine,7.95,1.02,5.84,3.43,15.31,23.10,2.64,4.95,55.00,63.80,2.30,2.73,4.23,9.20,0.09,9.523
995,5,white_wine,8.55,1.01,3.03,3.27,3.06,23.70,1.98,4.65,42.90,58.09,1.24,2.36,6.13,5.80,0.03,4.808
996,5,white_wine,9.25,1.01,5.90,3.56,5.34,24.30,3.43,4.65,38.50,64.46,2.27,1.43,3.65,6.70,0.01,6.0085
997,4,white_wine,7.70,1.01,6.51,3.16,1.54,23.50,2.51,10.35,38.50,48.01,1.93,10.35,3.07,5.00,0.23,3.8859999999999997
998,4,white_wine,8.20,1.02,4.34,3.45,12.65,23.70,0.92,6.15,86.35,94.41,1.71,2.17,8.18,8.85,0.04,8.5495
999,3,white_wine,8.55,1.01,3.07,3.49,1.54,26.10,2.51,3.60,20.90,38.37,1.06,2.17,2.92,4.80,0.27,4.2330000000000005
1000,5,white_wine,8.65,1.01,6.48,3.31,2.87,25.10,1.45,5.10,35.20,43.27,1.12,1.74,3.94,5.95,0.23,4.773
1001,4,white_wine,9.10,1.01,6.97,3.57,1.82,21.90,1.58,3.45,40.70,48.98,1.56,1.74,3.94,4.35,0.20,4.549499999999999
1002,4,red_wine,8.80,1.02,9.72,3.31,2.58,30.90,4.62,7.50,13.20,33.86,1.97,3.66,9.49,0.65,0.34,4.7105
1003,4,white_wine,8.25,1.01,2.73,3.36,2.40,23.50,1.19,7.50,28.60,43.88,1.70,2.11,3.36,5.80,0.01,4.4525
1004,2,white_wine,8.80,1.01,5.89,3.23,1.16,25.30,5.28,5.55,3.30,10.77,1.00,1.74,2.48,4.70,0.16,4.1295
1005,4,white_wine,8.30,1.02,10.02,3.22,11.71,23.70,2.64,4.35,55.00,64.41,1.11,2.67,5.26,7.15,0.17,8.174
1006,5,red_wine,9.50,1.02,1.93,3.93,2.49,21.30,7.66,0.00,2.20,17.41,2.06,4.84,5.99,0.25,0.10,5.0125
1007,3,white_wine,8.55,1.02,0.88,3.16,1.82,29.30,1.98,6.00,19.80,35.85,1.35,2.17,3.94,6.45,0.16,4.2965
1008,3,white_wine,8.50,1.02,13.03,3.75,1.92,23.70,2.24,3.60,41.80,51.94,1.51,2.23,5.26,7.90,0.17,4.4075
1009,3,white_wine,7.80,1.02,4.05,3.42,7.91,21.90,2.77,2.40,51.70,66.13,1.47,2.17,2.04,9.55,0.22,6.509
1010,5,white_wine,8.75,1.01,8.65,3.52,3.06,23.50,2.90,4.35,39.60,41.62,1.90,0.99,5.99,5.05,0.04,4.9155
1011,3,white_wine,8.00,1.02,0.17,3.32,11.61,24.90,2.51,3.90,59.40,63.07,1.40,2.73,5.55,8.35,0.17,8.044
1012,3,red_wine,7.75,1.02,9.30,3.32,2.02,26.30,6.34,4.20,16.50,27.24,1.09,22.26,15.48,2.50,0.14,4.1205
1013,4,white_wine,8.05,1.01,3.02,3.31,1.82,23.70,2.51,4.80,19.80,33.64,1.74,2.17,3.07,6.80,0.11,4.143
1014,3,white_wine,7.85,1.02,3.54,3.05,2.40,26.90,1.45,6.45,20.90,35.86,1.57,2.67,3.50,4.90,0.17,4.2669999999999995
1015,4,white_wine,8.65,1.01,5.12,3.28,1.82,23.70,0.79,5.25,42.90,58.71,1.32,2.36,7.30,5.55,0.05,4.3485
1016,3,white_wine,7.80,1.02,2.97,3.46,15.12,24.70,1.85,5.55,75.90,83.08,1.38,2.42,8.03,9.85,0.24,9.399000000000001
1017,3,white_wine,7.50,1.02,2.88,3.29,1.54,22.10,2.38,2.25,37.40,48.88,0.79,2.73,3.50,5.90,0.04,3.8365
1018,5,red_wine,8.95,1.02,13.35,3.47,2.30,28.30,2.90,5.10,12.10,22.16,1.27,3.41,9.05,0.95,0.26,4.674999999999999
1019,5,white_wine,9.05,1.02,0.55,3.23,7.43,26.90,2.11,7.35,49.50,76.26,1.70,1.86,1.61,5.10,0.22,6.726
1020,4,white_wine,7.70,1.02,4.89,3.31,14.17,24.90,1.45,4.65,41.80,54.78,0.96,2.23,4.09,9.35,0.08,8.961500000000001
1021,4,white_wine,7.65,1.02,7.04,3.41,16.22,26.30,1.45,8.70,51.70,64.28,1.30,2.48,5.84,8.75,0.14,9.779
1022,4,red_wine,8.55,1.02,6.61,3.30,3.06,35.90,5.54,8.25,6.60,29.22,1.26,3.91,6.72,0.90,0.46,4.8135
1023,4,red_wine,7.85,1.02,16.50,3.62,2.11,24.50,3.56,3.90,35.20,54.97,1.27,4.59,5.26,3.45,0.18,4.2364999999999995
1024,4,white_wine,9.10,1.01,7.27,3.14,2.58,24.70,1.58,5.85,25.30,34.15,2.02,2.42,1.90,4.05,0.07,4.789
1025,3,white_wine,9.10,1.01,5.94,3.60,3.44,22.40,1.72,5.55,20.90,30.48,1.21,0.74,3.65,3.70,0.21,5.202
1026,3,white_wine,7.65,1.02,1.92,3.38,19.59,22.90,2.11,3.75,37.40,44.01,1.59,4.59,4.09,7.55,0.02,11.1225
1027,4,white_wine,8.75,1.01,1.95,3.60,7.81,20.10,3.56,3.75,25.30,32.64,0.97,1.36,2.63,5.50,0.24,6.827500000000001
1028,5,white_wine,9.50,1.01,8.89,3.50,2.21,22.10,3.17,4.50,44.00,61.49,1.45,1.49,2.92,6.80,0.05,4.835
1029,4,white_wine,8.70,1.02,7.94,3.39,10.66,22.90,2.51,4.35,17.60,38.29,1.59,1.18,2.19,5.60,0.21,7.919499999999999
1030,5,white_wine,8.55,1.01,14.23,3.28,3.15,23.70,1.72,4.65,42.90,51.84,1.22,2.29,6.28,5.75,0.00,4.8455
1031,1,white_wine,8.95,1.01,3.00,3.75,3.72,21.70,2.11,6.60,4.40,15.42,1.16,1.24,3.07,5.15,0.09,5.284
1032,5,white_wine,10.10,1.01,1.73,3.60,2.87,21.70,2.77,3.15,12.10,17.67,2.32,0.99,8.32,5.70,0.18,5.324
1033,4,white_wine,7.80,1.02,7.55,3.44,6.29,24.10,3.17,3.60,33.00,43.48,0.87,2.42,5.84,11.10,0.16,5.864
1034,2,white_wine,7.85,1.02,17.83,3.30,8.19,26.10,6.20,2.55,13.20,26.77,1.67,1.92,1.17,2.70,0.13,6.6205
1035,5,white_wine,7.60,1.02,4.13,3.33,14.08,24.50,2.24,4.20,59.40,74.11,1.58,2.85,2.34,9.95,0.09,8.8935
1036,4,red_wine,8.15,1.02,2.43,3.57,2.11,23.10,7.26,4.95,16.50,25.40,0.80,3.10,6.13,1.10,0.41,4.334
1037,2,white_wine,9.45,1.01,4.22,3.43,8.00,23.10,3.17,7.20,18.70,34.08,1.94,1.05,8.32,4.10,0.26,7.122999999999999
1038,4,red_wine,8.80,1.02,1.34,3.60,2.40,24.10,6.07,0.00,41.80,51.21,0.93,4.34,9.05,2.45,0.13,4.682
1039,4,red_wine,8.65,1.02,11.72,3.54,2.49,27.90,5.54,3.15,22.00,23.14,1.32,4.90,8.91,1.65,0.35,4.6565
1040,5,white_wine,9.90,1.01,5.13,3.52,1.54,20.90,2.90,4.50,26.40,35.91,1.85,1.24,2.63,4.35,0.06,4.709999999999999
1041,2,white_wine,7.45,1.02,3.12,3.51,1.44,20.70,2.90,3.00,51.70,59.34,1.02,4.22,4.67,8.00,0.12,3.812
1042,4,white_wine,7.70,1.02,2.30,3.27,9.14,25.50,4.49,4.65,23.10,38.24,1.71,2.42,5.69,10.75,0.20,6.9435
1043,3,red_wine,8.40,1.02,1.71,3.64,2.58,22.30,3.17,3.75,24.20,37.36,1.35,3.84,10.95,2.60,0.33,4.62
1044,4,white_wine,7.60,1.02,8.52,3.32,1.73,24.50,4.09,8.10,36.30,43.90,1.28,9.18,4.53,6.30,0.12,3.9519999999999995
1045,3,white_wine,8.15,1.02,2.66,3.41,11.94,22.10,2.64,3.30,45.10,56.64,1.27,2.42,3.50,7.85,0.12,8.241999999999999
1046,4,white_wine,7.70,1.02,1.24,3.46,8.29,23.90,3.17,3.90,34.10,41.86,0.60,2.73,4.23,8.70,0.04,6.632
1047,3,white_wine,7.70,1.02,7.74,3.43,8.86,23.50,5.15,5.10,33.00,54.69,1.41,2.11,5.55,8.30,0.19,6.855499999999999
1048,3,red_wine,8.05,1.02,3.75,3.79,2.58,23.90,9.04,0.30,37.40,50.88,1.73,3.35,8.18,2.85,0.22,4.52
1049,5,red_wine,9.20,1.01,9.15,3.76,1.92,20.50,5.28,0.60,19.80,25.95,1.26,2.79,5.84,5.00,0.15,4.653
1050,3,red_wine,7.80,1.02,6.87,3.73,2.11,24.90,7.66,0.00,13.20,18.94,1.46,4.09,4.96,1.70,0.31,4.2355
1051,3,white_wine,8.00,1.02,2.78,3.49,3.15,22.70,2.51,3.45,13.20,20.05,1.19,2.36,3.07,4.70,0.08,4.685499999999999
1052,4,white_wine,7.80,1.02,3.29,3.27,7.71,22.10,2.24,4.20,39.60,48.86,1.08,2.73,4.09,6.30,0.15,6.406499999999999
1053,3,white_wine,7.80,1.02,8.08,3.24,10.38,25.30,3.04,4.35,22.00,27.26,1.23,1.92,1.90,6.95,0.05,7.47
1054,5,white_wine,9.00,1.02,2.96,3.52,12.56,21.90,1.58,4.20,30.80,49.69,0.98,1.80,5.11,6.30,0.16,8.804
1055,3,white_wine,7.45,1.02,6.83,3.50,12.65,22.70,8.12,8.25,62.70,76.80,1.09,2.91,3.94,12.30,0.10,8.2945
1056,4,white_wine,7.65,1.02,1.16,3.38,10.19,24.30,2.24,4.80,71.50,88.70,1.24,1.98,4.38,13.30,0.11,7.362499999999999
1057,4,white_wine,8.12,1.02,0.42,3.24,15.31,24.90,2.51,7.80,38.50,56.00,1.28,2.79,5.84,6.65,0.21,9.554
1058,3,white_wine,7.85,1.02,5.21,3.60,7.81,22.30,3.30,4.80,56.10,65.45,1.94,2.67,6.28,8.85,0.24,6.5135
1059,4,white_wine,9.55,1.01,7.20,3.32,4.58,23.30,7.39,4.20,19.80,28.71,1.97,1.43,5.84,3.60,0.11,5.7735
1060,4,red_wine,8.25,1.02,7.60,3.39,2.21,27.90,2.77,5.25,26.40,38.63,1.49,3.60,16.64,2.55,0.20,4.382
1061,4,white_wine,9.20,1.01,11.51,3.46,4.63,26.70,1.58,11.10,35.20,47.26,1.55,2.17,2.92,6.20,0.02,5.692
1062,5,white_wine,8.15,1.01,5.53,3.64,1.92,23.30,2.24,4.50,34.10,40.74,1.30,2.29,4.23,6.40,0.20,4.2675
1063,4,white_wine,8.70,1.01,3.09,3.32,1.54,24.30,1.72,4.95,36.30,46.89,1.23,1.86,7.74,4.55,0.14,4.26
1064,3,white_wine,7.85,1.02,0.62,3.27,14.46,25.10,3.04,7.65,67.10,78.08,1.16,1.86,5.55,9.90,0.17,9.124
1065,5,white_wine,9.45,1.01,9.95,3.37,2.96,24.50,1.58,5.10,52.80,71.98,1.94,1.43,2.48,7.25,0.22,5.098
1066,4,white_wine,7.70,1.02,7.62,3.23,1.44,23.90,1.72,12.15,56.10,78.20,1.27,7.94,2.48,5.85,0.05,3.8575
1067,3,red_wine,8.10,1.02,2.26,3.57,2.30,26.10,6.73,0.75,12.10,32.90,1.65,4.96,5.69,1.30,0.04,4.392499999999999
1068,3,white_wine,8.45,1.01,0.75,3.50,1.73,23.30,2.51,4.95,25.30,41.83,1.36,2.05,3.50,8.85,0.00,4.275499999999999
1069,2,red_wine,7.80,1.02,8.93,2.94,3.63,28.50,5.81,15.00,34.10,38.91,0.94,37.26,25.99,3.15,0.08,4.725
1070,3,white_wine,8.00,1.02,2.21,3.32,11.61,24.90,2.51,3.90,59.40,71.62,1.48,,5.55,8.35,0.06,8.044
1071,6,white_wine,9.60,1.01,3.77,3.77,2.49,21.10,3.43,3.90,33.00,39.90,1.37,0.74,3.94,5.65,0.20,5.0225
1072,4,white_wine,9.60,1.01,5.19,3.34,3.15,23.50,5.28,7.35,29.70,45.20,1.94,1.30,2.63,5.80,0.06,5.2219999999999995
1073,4,white_wine,7.80,1.02,1.07,3.43,8.95,24.10,0.79,4.80,58.30,64.91,0.75,1.86,3.07,6.75,0.05,6.9265
1074,4,white_wine,8.95,1.01,2.43,3.21,1.44,22.90,0.53,4.50,39.60,55.59,1.03,1.36,4.96,4.40,0.03,4.2909999999999995
1075,4,white_wine,8.70,1.01,6.43,3.46,3.34,21.30,1.98,4.35,19.80,35.36,2.10,0.87,4.23,4.15,0.09,5.0009999999999994
1076,6,white_wine,8.30,1.01,2.79,3.43,2.02,26.30,2.51,5.25,40.70,52.66,1.37,1.30,5.99,4.85,0.15,4.3285
1077,2,red_wine,8.60,1.02,7.48,3.63,4.58,24.30,10.03,0.30,4.40,16.03,0.55,5.39,5.11,0.35,0.34,5.488499999999999
1078,3,white_wine,8.65,1.01,1.18,3.19,1.16,27.30,1.32,4.20,26.40,50.71,1.14,1.43,2.34,3.60,0.11,4.071
1079,3,red_wine,7.75,1.02,7.70,3.50,2.11,25.70,6.47,4.65,27.50,32.40,1.23,3.72,4.53,5.70,0.26,4.1834999999999996
1080,4,white_wine,9.45,1.01,0.96,3.57,1.63,22.10,1.98,5.10,24.20,36.33,1.15,0.99,2.19,5.25,0.16,4.595999999999999
1081,3,white_wine,7.60,1.02,4.73,3.31,7.81,22.90,2.90,5.70,37.40,51.36,1.89,2.29,2.19,9.30,0.07,6.3825
1082,3,white_wine,7.95,1.02,1.91,3.27,12.84,26.90,4.22,10.50,30.80,40.73,1.71,2.05,6.13,9.55,0.18,8.511
1083,4,white_wine,7.70,1.02,2.92,3.32,16.83,23.10,2.11,5.85,23.10,33.23,1.19,2.67,3.65,6.00,0.16,10.027
1084,5,white_wine,9.25,1.01,4.07,3.81,1.73,21.70,1.58,3.60,70.40,84.97,1.85,1.49,4.96,8.15,0.08,4.601999999999999
1085,5,white_wine,8.75,1.01,2.24,3.43,3.15,23.30,2.38,3.15,51.70,58.56,1.40,1.05,2.34,6.00,0.14,4.938
1086,5,white_wine,7.40,1.02,5.11,3.42,14.27,26.10,1.85,6.30,48.40,56.35,1.57,2.17,6.86,7.85,0.22,8.913
1087,2,white_wine,7.85,1.01,11.46,3.45,1.25,22.50,5.94,0.30,5.50,16.75,1.38,1.61,1.90,3.75,0.10,3.8659999999999997
1088,4,white_wine,8.30,1.01,4.10,3.14,1.44,28.50,1.98,4.50,42.90,48.83,1.27,1.36,1.17,4.65,0.09,4.053
1089,5,white_wine,8.20,1.02,4.32,3.55,1.73,24.50,1.45,4.65,39.60,58.54,1.85,2.29,5.11,6.45,0.20,4.1964999999999995
1090,4,white_wine,8.35,1.02,3.97,3.41,6.29,25.10,1.32,5.55,22.00,30.03,1.91,2.54,4.82,6.60,0.25,6.052
1091,4,white_wine,8.55,1.02,1.92,3.55,8.38,23.50,2.11,5.40,45.10,50.18,0.85,2.05,4.38,5.85,0.15,6.979
1092,3,white_wine,8.10,1.02,0.41,3.30,5.72,22.70,1.32,3.30,48.40,52.14,1.31,2.36,4.67,7.05,0.13,5.719999999999999
1093,3,white_wine,8.30,1.01,11.28,3.72,1.73,20.30,1.72,4.20,51.70,62.57,1.42,2.36,3.94,7.10,0.12,4.256
1094,4,red_wine,8.80,1.02,7.92,3.43,2.30,30.90,5.81,6.75,5.50,28.00,1.54,4.40,7.88,0.35,0.07,4.6165
1095,3,white_wine,7.70,1.02,4.60,3.45,8.09,22.70,2.11,8.25,72.60,88.21,0.99,1.92,4.09,10.50,0.01,6.5504999999999995
1096,4,white_wine,7.85,1.02,3.44,3.20,13.37,23.90,3.96,4.35,56.10,68.25,2.08,2.42,5.55,9.15,0.08,8.677499999999998
1097,3,white_wine,8.35,1.01,8.09,3.39,2.21,23.70,2.38,3.60,75.90,77.20,0.97,2.11,4.38,7.40,0.18,4.416
1098,3,white_wine,7.75,1.02,14.44,3.37,4.96,22.50,3.17,1.80,5.50,18.18,1.49,2.79,4.09,4.55,0.13,5.304
1099,5,white_wine,9.10,1.01,3.21,3.39,7.43,23.70,4.09,5.10,40.70,47.10,1.25,0.68,3.21,6.35,0.24,6.766499999999999
1100,4,white_wine,8.80,1.01,7.67,3.45,1.92,22.10,1.06,3.30,38.50,52.13,0.99,2.05,1.46,5.00,0.16,4.4665
1101,3,white_wine,8.55,1.02,6.27,3.17,8.00,25.50,3.43,4.50,26.40,34.67,1.52,2.42,3.65,9.30,0.25,6.77
1102,3,red_wine,7.75,1.02,12.89,3.47,3.44,26.10,6.47,3.45,17.60,27.80,1.44,3.97,5.11,5.65,0.33,4.711
1103,2,white_wine,7.70,1.02,0.77,3.40,1.16,24.50,5.54,0.00,49.50,62.97,1.39,1.55,1.75,5.40,0.23,3.7709999999999995
1104,3,white_wine,7.70,1.02,4.48,3.39,6.29,23.70,2.90,3.30,44.00,57.83,0.85,3.16,4.23,9.20,0.03,5.8214999999999995
1105,4,white_wine,7.85,1.02,5.34,3.20,13.37,23.90,3.96,4.35,56.10,71.40,1.57,2.42,5.55,9.15,0.14,8.677499999999998
1106,3,white_wine,8.55,1.01,2.51,3.78,1.63,21.70,6.86,0.00,78.10,86.20,1.47,2.17,3.07,9.55,0.03,4.3125
1107,4,white_wine,9.00,1.01,14.93,3.49,4.39,24.10,2.11,4.50,44.00,47.22,0.48,1.92,3.94,10.35,0.20,5.5305
1108,5,red_wine,9.15,1.02,5.94,3.41,2.40,30.50,3.43,7.20,4.40,16.26,1.69,2.67,6.86,0.15,0.40,4.776
1109,3,white_wine,7.75,1.02,3.50,3.23,1.54,25.50,1.32,4.50,52.80,64.61,1.42,2.29,2.34,9.65,0.22,3.915
1110,6,white_wine,9.45,1.01,1.92,3.45,4.87,22.70,2.77,4.20,29.70,35.22,1.32,3.10,4.96,3.75,0.08,5.874
1111,3,white_wine,8.15,1.02,10.34,3.31,1.82,24.10,2.90,4.05,25.30,35.18,0.87,4.15,4.38,6.95,0.01,4.179
1112,4,white_wine,7.70,1.02,4.55,3.40,5.62,22.90,2.24,4.80,44.00,55.95,1.01,2.48,6.72,8.50,0.01,5.555
1113,6,white_wine,9.20,1.02,4.48,3.47,12.56,24.10,1.19,11.10,25.30,40.33,1.84,2.23,2.34,6.00,0.21,8.8665
1114,4,white_wine,8.65,1.01,2.44,3.16,5.72,23.30,2.24,4.80,15.40,27.73,1.13,1.86,4.38,3.10,0.19,5.890499999999999
1115,4,white_wine,8.15,1.02,6.58,3.59,6.91,24.10,1.06,3.90,31.90,41.31,1.31,2.36,5.26,10.70,0.06,6.257
